SUBJECT,CODE,TITLE,CREDIT,ATTRIBUTE,EXCLUSION STR,PREREQUISITE STR,COREQUISITE STR,DESCRIPTION,COLIST WITH STR,VECTOR,PREVIOUS CODE,OFFER IN
"CBME","6980B","Independent Project","6","-","-","-","-","An independent project carried out under the supervision of a faculty member.","-","[6 credits]","-","['2018-19 Fall', '2017-18 Summer', '2017-18 Spring', '2017-18 Fall', '2016-17 Summer', '2016-17 Spring']"
"CENG","1000","Introduction to Chemical and Biological Engineering","3","-","-","-","-","From chemistry to engineering, molecules to useful products. Physical, chemical and biochemical transformation of materials. Survey of industries related to modern chemical and biological engineering. Basic principles of materials and energy balance. Strategy of molecular synthesis, process selection and design, economic and environmental considerations. Examples taken from a diverse range of products spanning realms of food, consumer products, energy, environment, and medicine. Case studies and team projects on process and product design. For engineering students only.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CENG","1010","Academic and Professional Development I","0","-","CENG 2000 (prior to 2016-17)","-","-","Students not studying in the Chemical and Biomolecular Engineering Department may enroll in this course subject to the course instructors approval. This course is designed to provide academic advising to students, to enhance their understanding of the industries relevant to chemical engineers, and to improve their communication skills. Students are required to attend discussion sessions with advisors and selected seminars. Graded P or F.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CENG","1500","A First Course on Materials Science and Applications","3","(S&T)","MECH 2410, PHYS 3040","-","-","The scope of this course is to introduce different categories of materials and to elucidate their applications. We will start from the basic concepts of matter to the basic structures at molecular scale, and then to the science and engineering of materials. The focus of the course is the structure/property relationship. The principles for designing and developing useful materials for special applications will be discussed.","-","-","-","['2017-18 Spring']"
"CENG","1600","Biotechnology and Its Business Opportunities","3","(S&T)","-","-","-","This course gives an introductory overview of biotechnology from both technical and business perspectives. It surveys the current landscape of medical biotechnology, discusses the significant milestones in this field, describes underlying scientific concepts, and emphasizes the impact of innovations on human health and economy. Case studies are used to illustrate the opportunities and limitations in current and future biotechnology development. In addition, experts from industry and academia are invited to give guest lectures on course-related topics.","-","-","-","['2018-19 Fall', '2017-18 Fall', '2016-17 Spring']"
"CENG","1700","Introduction to Environmental Engineering","3","(S&T)","CIVL 2410","-","-","Fundamentals of environmental impact assessment will be discussed. Life cycle analysis of carbon and energy will be introduced using case studies. Principles of environmental engineering for control of air, water, solid and noise pollution will be discussed, including global pollution, pollution prevention and minimization. Cost of available technologies will be analyzed.","-","-","-","['2017-18 Spring']"
"CENG","1800","Introduction to Food Science and Technology","3","(S&T)","-","-","-","This experiential learning course consists of lectures, experiments and design project. Lectures introduce food chemistry, nutrition, processing, additives, safety, regulations, genetically modified foods and healthy foods etc. Experiments and design project encourage students to learn by doing, helping them obtain hands-on experiences and develop problem solving skills.","-","-","-","['2016-17 Summer']"
"CENG","1980","Industrial Training","0","-","-","-","-","A practical training course in an industrial simulated environment. For students of the Chemical and Biomolecular Engineering Department only. Graded P or F.","-","-","-","['2017-18 Spring', '2017-18 Fall', '2016-17 Summer', '2016-17 Spring']"
"CENG","2110","Process Principles","3","-","-","-","CENG 1000","Processes and process variables, engineering data, and process representations. The conservation principle. Material and energy balances on non-reactive and reactive unit operations and process systems with recycles. Unsteady state processes and introduction to separation principles.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CENG","2210","Chemical Engineering Thermodynamics","3","-","-","PHYS 1111 OR PHYS 1112 OR PHYS 1312","MATH 2011 AND (CHEM 1010 OR CHEM 1020)","First law of thermodynamics for closed and open systems, enthalpy and the energy equation. PVT data and thermodynamic properties, methods for their estimation, phase equilibria. Second and third laws of thermodynamics, entropy and the Carnot engine. Power cycles, refrigeration and liquefaction. Process examples.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","2220","Process Fluid Mechanics","3","-","MECH 2210","PHYS 1111 OR PHYS 1112 OR PHYS 1312","-","Applications of fluid mechanics in chemical engineering. Fluid properties; energy equations and applications in process systems; flow in pipes and channels, around submerged objects. Laminar and turbulent flow, flow measurements.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","3120","Process Design and Integration","3","-","-","CENG 2110","-","Conceptual design of chemical processes. Flowsheet synthesis, selection and analysis. Short-cut methods, steady-state simulation, computer-aided design tools. Heat-exchanger networks, energy integration. Batch and continuous process design. Case studies and non-traditional applications.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","3210","Separation Processes","3","-","-","CENG 2110 AND CENG 2210","-","Phase equilibria. Ideal and nonideal mixtures. Thermodynamic properties and VLE from equations of state. Liquid-liquid and liquid-solid systems. Stage process, short-cut and rigorous calculations in absorption, distillation or extraction. Continuous contacting processes. Separation sequences. Simulation and design.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CENG","3220","Heat and Mass Transfer","3","-","MECH 3310","CENG 2220","-","Steady-state conductive, forced and free convective, radiative  heat transfer in simple and complex process environments.  Analysis and design of heat exchangers, fouling.  Basic mass transfer concepts.  Continuous contacting process and traditional design methodologies.  Numerical solutions and simulations of unconventional examples.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2016-17 Spring']"
"CENG","3230","Chemical and Biological Reaction Engineering","3","-","-","CHEM 1010 OR CHEM 1020","CENG 2110","Stoichiometry and reaction equilibria. Homogeneous reactions kinetics. Mole balances: batch, continuous-stirred tank and plug flow reactors. Collection and analysis of rate data. Catalytic and enzymatic reaction kinetics and reactor design. Diffusion effects. Examples from chemical and biological processes.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CENG","3910","Chemical Engineering Laboratory I","3","-","-","-","CENG 2110","Measurements and instrumentation. Data analysis, error analysis. Safety and risk assessment including PID analysis. Designing, assembling, testing and dissembling selected experimental rigs. Hazard and operability studies. A wide range of process experimentation. Written and oral presentations. Teamwork Training. Language Center Interaction for Report Writing. Library Workshop and Library Exercise.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CENG","3920","Chemical Engineering Laboratory II","3","-","-","CENG 3910","-","This course is natural continuation of CENG 3910, but students will specialize further in the field of Chemical Engineering. The course will give the students opportunities to conduct Q&A Safety Reviews and make a major presentation.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","3926","Biomolecular Engineering Laboratory","3","-","-","CENG 3910 AND (Level 3 in HKDSE 1x Biology OR LIFS 1901)","-","Introduction of molecular biotechnology from an engineering perspective. Laboratory experiments including bacterial culturing, DNA extraction, purification, transformation, cloning, gel electrophoresis and Polymerase Chain Reaction will be conducted. Cutting edge engineering-based applications such as chip-PCR, DNA microarray, bioreactor, and manufacturing and characterization of pharmaceuticals will be introduced.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2016-17 Spring']"
"CENG","3927","Environmental Engineering Laboratory","3","-","-","CENG 3910","-","This course is a natural continuation of CENG 3910, but students will specialize in laboratory experiments in the field of Environmental Engineering. The course will give the students opportunities to conduct Q&A Safety Reviews and make a major presentation.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","4000D","Advanced Chemical Product Design with Business Thinking","3","-","-","-","-","This course covers the design, manufacture, and launch of consumer-centered chemical products. Molecular products (e.g., organic photovoltaic molecules and nanoparticles) are designed using advanced simulation tools. Devices (e.g., air purifiers, water filters, batteries, and fuel cells) and functional products (e.g., Disposable diapers and smart window) are designed based on fundamental chemical engineering principles. Formulated products (e.g., detergents and inkjet inks) are designed using material databases and rule-based methods. Business and project management concepts required in product development such as Quality Function Deployment, House of Quality, Stage-Gate, innovation map, and Business Model Canvas are introduced to aid in product conceptualization. Capital budgeting is used to assess the economic viability of a proposed product development project.","-","-","-","['2017-18 Spring']"
"CENG","4000F","Chemical Engineering Summer Laboratory","3","-","-","CENG 2210 AND CENG 2220","-","Measurements and instrumentation. Data analysis, error analysis. Safety and risk assessment including PID analysis. Designing, assembling, testing and dissembling selected experimental rigs. Hazard and operability studies. A wide range of process experimentation. Written and oral presentations. Teamwork Training. Language Center Interaction for Report Writing. Instructor approval required for course registration.","-","-","-","['2017-18 Summer']"
"CENG","4000G","Chemical and Biological Engineering Competition Project","3","-","-","-","-","This course is a platform for entry-level engineer students to participate student competition for chemical engineers. The objective of this course is to develop the ability to control chemical reactions, and to obtain hands-on experience on a practical engineering project, especially in chemical engineering field. Students will be given the opportunity to interact with each other, to integrate the learning experience to design and build a device/product/process, a business entity or other forms. Students will have chance to prepare for starting their future career in engineering. It is a student-led project, designed to motivate students for engineers. Enrollment in the project course require instructor's approval.","-","-","-","['2017-18 Summer']"
"CENG","4000H","Electrochemical Energy Conversion and Storage","3","-","-","(CENG 2210 OR CHEM 3420) AND (CHEM 1010 OR CHEM 1020)","-","Electrochemical energy conversion and storage technologies such as fuel cells, batteries, electrolyzers, supercapacitors, solar cells, CO2 reduction, etc. help overcome the energy and environmental problems that have become prevalent in our society. This course will deliver the Electrochemistry fundamentals first and then focus on the principles, critical materials, limitations, current status and development trend for each technology.","-","-","-","['2016-17 Spring']"
"CENG","4000I","Chem-E-Car","3","-","-","-","-","This course is a platform for entry-level engineer students to participate Chem-E-car competition, i.e. to design and construct a car powered by a chemical or biochemical energy source that will safely carry a specified load over a given distance and stop. The objective of this course is to develop the ability to control an electrochemical reaction, and to obtain hands-on experience on a practical engineering project, especially in chemical engineering field. Students will be given the opportunity to interact with each other, to integrate the learning experience to design and build a device, and chances to prepare for starting their future career in engineering. It is a student-led project, designed to motivate students for engineers. Enrollment in the project course require instructor's approval.","-","-","-","['2016-17 Summer']"
"CENG","4000J","Polymer Physics and Advanced Applications","3","-","CENG 6000H, CBME 5520, CBME 5550","-","-","In this course, we alternate the discussion in polymer fundamental properties to the advanced applications of polymers with the artful molecular design. Since polymers are composed of long chain molecules. We will start from understanding the polymer chain nature to the relationship of structure and properties, then to the applications.","-","-","-","['2017-18 Fall']"
"CENG","4120","Process Dynamics and Control","3","-","ELEC 3200, MECH 3610","CENG 3120","-","Basic concepts, mathematical model, transfer function. Dynamics of first - and higher-order systems. Feedback control, controller tuning, frequency response methods. Cascade control, feedforward and ratio control. Introduction to computer control and multi-variable control. Control and instrumentation hardware.","-","-","-","['2018-19 Fall', '2017-18 Spring']"
"CENG","4130","Plant Design and Economics","3","-","-","CENG 3120","-","Computer-aided-design and process evaluation.  Risk assessment, qualitative and quantitative assessment.  Hazop, Hazan, FMEA, decision tree, fault tree, reliability.  Toxicity, dispersion, fire, explosion, relief.  Workplace safety.  Plant safety and hazard analysis.  Plant equipment specification and selection.  Cost estimation and profitability analysis.  Project evaluation.  Cost optimization.  Environmental control.","-","-","-","['2017-18 Fall']"
"CENG","4140","Energy Resources, Conversions and Technologies","3","-","-","CHEM 1010 OR CHEM 1020","-","The course will provide the fundamental knowledge of energy resources, their conversions and utilization technologies.Basic thermodynamics such as fuel and combustion models, measurement techniques will be taught to enable students to manage basic conversion calculations and to evaluate different energy utilization options. The course will also cover topics in green energies and fuels, providing an outlook of future energy uses.","-","-","-","['2018-19 Fall']"
"CENG","4150","Product and Process Design in Chemical and Biological Engineering","3","-","-","CENG 2220 AND CENG 3210 AND CENG 3230","CENG 3220","This course covers conceptualization, design, manufacture, and launch of chemical and biological products. These include molecular products, devices, functional, and formulated products. Relevant business and project management concepts are introduced.","-","-","CENG 4000D","['2017-18 Spring']"
"CENG","4620","Bioproducts and Processing","3","-","-","-","-","Students not studying in the Chemical and Bioproduct Engineering Program may enroll in the course upon instructor's approval. Survey of bioproducts, cellular production hosts, production techniques (bioreactors), separation and purification processes, product formulation, product and process design.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CENG","4630","Food Processing Technology","3","-","-","-","-","Principles of Food Spoilage and Preservation, Thermal Processing (blanching, pasteurization, sterilization, aseptic UHT processing.), Chilling & Freezing, Dehydration, Separation and concentration, Fermentation, and concept of hurdle technology.","-","-","CENG 4000C","['2017-18 Spring', '2016-17 Spring']"
"CENG","4640","Biomolecular Engineering","3","-","-","CENG 2210 AND CENG 3230 AND (Level 3 in HKDSE 1x Biology OR LIFS 1901)","-","Students not studying in the Department of Chemical Engineering may enroll in the course upon instructor's approval. Molecular biology, protein engineering, enzyme kinetics, thermodynamics and energetics of biological systems, molecular and cellular processes, bioreaction networks and metabolic engineering.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","4670","Pharmaceutical Engineering","3","-","-","CHEM 1010 OR CHEM 1020","-","Survey of western pharmaceuticals; pharmaceutical processing technologies including reactions and separations; enantiomers and chiral separations; polymorphs and solid state pharmaceuticals; pharmaceutical dosage forms including tablets, capsules and transdermal patches; traditional Chinese medicine processing.","-","-","-","['2016-17 Spring']"
"CENG","4710","Environmental Control","3","-","-","CHEM 1010 OR CHEM 1020","-","Wastes from the process industries. Behavior of toxic chemicals in atmospheric, soil and aquatic environments. Adsorption/desorption, air stripping, steam stripping, supercritical extraction. Pyrolysis, biological, catalyzed and uncatalyzed reactions.  Integrated environmental control. Instructor's approval is required for non-CBME students' enrollment in the course.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CENG","4720","Environmental Impact Assessment and Management Systems","3","-","CIVL 4430","CENG 1700 or CIVL 1140","-","This course will review the methods for assessing environmental impacts.  Impact and management systems will be discussed in the context of both HK and international environmental legislation, which incorporates Licensing, BATNEEC, integrated pollution control, environmental management and auditing systems based on ISO 14000.  Actual case studies from the process industries will be discussed.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","4911","Chemical Engineering Project","7","-","-","CENG 3120 AND CENG 3910 AND LANG 2030","-","A one year long final year project involves the application of Chemical Engineering principles to the design, planning, experimental or analytical investigation of current engineering design and research problems. Working in small teams and individually under supervision, students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CENG","4912","Chemical and Environmental Engineering Project","7","-","-","CENG 3120 AND CENG 3910 AND LANG 2030","-","A one year long final year project involves the application of Chemical and Environmental Engineering principles to the design, planning, experimental or analytical investigation of current engineering design and research problems.   Working in small teams and individually under supervision, students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CENG","4913","Chemical and Biomolecular Engineering Project","7","-","-","CENG 3120 AND CENG 3910 AND LANG 2030","-","A one year long final year project involves the application of Chemical and Bioproduct Engineering principles to the design, planning, experimental or analytical investigation of current engineering design and research problems.   Working in small teams and individually under supervision, students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CENG","4970","Introduction to Research in Chemical and Biological Engineering","0","-","-","-","-","For students interested in conducting undergraduate research in chemical and biological engineering. Through workshops and meetings with faculty and other researchers, students will identify their research topic of interest, perform the necessary literature review, and prepare a research proposal and a work plan. Performance is jointly assessed by the prospective supervisor and the course instructor. Graded P or F. Enrollment is subject to instructor's approval.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CENG","4980I","Investigation Project","3","-","-","CENG 4970","-","Students conduct in-depth experimental or computational investigations on selected topics in one of the departmental research areas. Students work under supervision and are encouraged to use their own initiative to complete an appropriate program of work within the time allocated. Enrollment is subject to approval by department and supervisor. May be repeated for credits. May be graded PP.","-","-","-","['2016-17 Spring']"
"CENG","4980J","Investigation Project","3","-","-","CENG 4970","-","Students conduct in-depth experimental or computational investigations on selected topics in one of the departmental research areas. Students work under supervision and are encouraged to use their own initiative to complete an appropriate program of work within the time allocated. Enrollment is subject to approval by department and supervisor. Graded Distinction/Pass/Fail. May be repeated for credits. May be graded PP.","-","-","-","['2017-18 Fall']"
"CENG","4980K","Investigation Project","3","-","-","CENG 4970","-","Students conduct in-depth experimental or computational investigations on selected topics in one of the departmental research areas. Students work under supervision and are encouraged to use their own initiative to complete an appropriate program of work within the time allocated. Enrollment is subject to approval by department and supervisor. Graded Distinction/Pass/Fail. May be repeated for credits. May be graded PP.","-","-","-","['2017-18 Spring']"
"CENG","4980L","Investigation Project","3","-","-","CENG 4970","-","Students conduct in-depth experimental or computational investigations on selected topics in one of the departmental research areas. Students work under supervision and are encouraged to use their own initiative to complete an appropriate program of work within the time allocated. Enrollment is subject to approval by department and supervisor. Graded Distinction/Pass/Fail. May be repeated for credits. May be graded PP.","-","-","-","['2018-19 Fall']"
"CENG","5100","Advanced Reaction Engineering","3","-","-","-","-","Reaction mechanisms and kinetics. Homogeneous and heterogeneous catalysis. Ideal reactors. Multiphase reactors. Interplay of reaction, mixing, heat and mass transfer. Design of reaction systems involving organics, inorganics, and polymeric materials. Experimental techniques in reaction engineering. Use of mathematical software to problem solving.","-","[3-0-0:3]","CENG 510","['2016-17 Spring']"
"CENG","5210","Advanced Separation Processes","3","-","CBME 5210","-","-","Separation of gaseous and liquid mixtures by adsorption. Affinity chromatography. Membrane separation technology: reverse osmosis, ultrafiltration. Electrophoresis and other product recovery methods.","-","[3-0-0:3]","CENG 521","['2017-18 Spring', '2016-17 Spring']"
"CENG","5400","Advanced Transport Phenomena","3","-","-","-","-","Mathematical formulation and physical understanding of selected transport phenomena in laminar flow, turbulent heat and mass transfer, and multiphase flow. Dimensional analysis and scaling models. Similarity parameters and asymptotic analysis. Solutions of boundary value problems.","-","[3-0-0:3]","CENG 540","['2017-18 Fall']"
"CENG","5520","Polymer and Materials Characterization Techniques","3","-","CENG 4000J, CENG 355, CENG 555, CBME 5520, FYTG 5412 (prior to 2018-19)","-","-","The course will first review some basic concepts in polymer physics and polymer chemistry. The course focuses more in polymer and materials characterization and related fabrication toward applications of advanced and functional polymers. The characterization techniques include thermal analysis of differential scanning calorimetry (DSC), dynamic thermal mechanical analysis (DTMA), thermal gravimetric analysis (TGA), scanning electron microscopy (SEM), transmission electron microscopy (TEC), optical microscopy, infrared spectroscopy (FTIR), X-ray diffraction, surface analysis, and mechanical properties and testing. MCPR's instrument demo will also be arranged.","-","[3-0-0:3]","CENG 6000H","['2018-19 Fall']"
"CENG","5840","Nanomaterials for Chemical Engineering Applications","3","-","CBME 5840, CENG 4540, NANO 5350","CENG 1500, CENG 3210, CENG 3230","-","Nanomaterials and nanotechnology have become a rapid growth area in the 21st century. This course provides an introduction to students who enter into this exciting area of research. The course will focus on major routes for the synthesis of nanostructured materials. Selected applications of nanomaterials in chemical engineering applications, such as separation and catalysis, will be studied.","NANO 5350","[2-1-0:3]","CENG 584, CENG 600J","['2017-18 Spring']"
"CENG","5910","Energy, Environment and Sustainable Development","3","-","ENEG 5050, JEVE 5820","-","-","This course attempts to highlight the basic issues on the relation between material/energy resources, the environment and sustainable development. Potential directions for technological changes on greater efficiency of energy utilization, exploitation of renewable energy, adoption of cleaner environmental practices and waste reduction that can lead to sustainable development will be explored.","ENEG 5050","[3-0-0:3]","-","['2016-17 Spring']"
"CENG","5930","Electrochemical Energy Technologies","3","-","CBME 5830","-","-","Electrochemical energy conversion and storage technologies such as fuel cells, batteries, supercapacitors, solar cells, electrolyzers, CO2 reduction, etc. help overcome the energy and environmental problems that have become prevalent in our society. This course will focus on the principles and critical materials for each technology. Cutting-edge research areas as well as electrochemistry fundamentals will be discussed in this course.","-","[3-0-0:3]","CENG 6000E","['2018-19 Fall', '2017-18 Fall']"
"CENG","6000H","Polymer and Materials Characterization","3","-","CENG 355, CENG 555, FYTG 5412","-","-","The course will first review some basic concepts in polymer physics and polymer chemistry. The course focuses more in polymer and materials characterization and related fabrication toward applications of advanced and functional polymers. The characterization techniques include scanning electron microscopy, transmission electron microscopy, optical microscopy, infrared spectroscopy, X-ray diffraction, surface analysis, thermal analysis, and rheometry, mechanical properties and testing.","-","[3-0-0:3]","-","['2017-18 Fall']"
"CENG","6000I","Advanced Chemical Product Design with Business Thinking","3","-","-","-","-","This course covers the design, manufacture, and launch of consumer-centered chemical products. Molecular products (e.g., organic photovoltaic molecules and nanoparticles) are designed using advanced simulation tools. Devices (e.g., air purifiers, water filters, batteries, and fuel cells) and functional products (e.g., Disposable diapers and smart window) are designed based on fundamental chemical engineering principles. Formulated products (e.g., detergents and inkjet inks) are designed using material databases and rule-based methods. Business and project management concepts required in product development such as Quality Function Deployment, House of Quality, Stage-Gate, innovation map, and Business Model Canvas are introduced to aid in product conceptualization. Capital budgeting is used to assess the economic viability of a proposed product development project.","-","[3-0-0:3]","-","['2016-17 Spring']"
"CENG","6000K","Numerical Methods for Chemical Engineers","3","-","-","-","-","This course discusses the application of various numerical methods to solve typical problems found in the chemical engineering discipline. Topics include linear and non-linear algebraic equations, ordinary and partial differential equations, optimization, stochastic simulations. The aim is to equip students with a practical set of skills to solve mathematical problems that they may encounter in their research or chemical engineering profession.","-","[3-0-0:3]","-","['2017-18 Spring']"
"CENG","6000L","Advanced Biochemical Engineering","3","-","-","-","-","Biological basis, Strain preservation, Inoculation and Medium composition, Microbial growth kinetics and culture processes (batch, fed-batch, Continuous, Perfusion), Bioreactor types, operation and control, sterilization, bioreactor design (agitation, scale up, aeration), Downstream separation processes.","-","[3-0-0:3]","-","['2017-18 Spring']"
"CENG","6770","Professional Development in Chemical and Biomolecular Engineering","1","-","-","-","-","This one-credit course aims at providing research postgraduate students with basic training in teaching skills, research management, career development, and related professional skills. This course consists of a number of mini-workshops. Some department-specific workshops will be coordinated by Department of CBME. Graded PP, P or F.","-","[0-1-0:1]","-","['2016-17 Spring']"
"CENG","6800L","Chemical and Biomolecular Engineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2016-17 Spring']"
"CENG","6800M","Chemical and Biomolecular Engineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2017-18 Fall']"
"CENG","6800N","Chemical and Biomolecular Engineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2017-18 Spring']"
"CENG","6800O","Chemical and Biomolecular Engineering Seminar","0","-","-","-","-","Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in presentation in accordance with the program requirements. Graded P or F.","-","[0-1-0:0]","-","['2018-19 Fall']"
"CENG","6900C","Independent Study","1","-","CENG 6800","-","-","Selected topics in chemical engineering studied under the supervision of a faculty member. Graded P or F.","-","[1 credit]","CENG 690C","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Summer', '2016-17 Spring']"
"CENG","6990","MPhil Thesis Research","0","-","-","-","-","Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.","-","-","CENG 699","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CENG","7990","Doctoral Thesis Research","0","-","-","-","-","Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.","-","-","CENG 799","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CHEM","1002","Introduction to Chemistry of Cosmetics","3","(S&T)","-","-","-","This course concentrates on the basic scientific principles in cosmetic science. Various topics with emphasis on molecular approach related to cosmetic products' formulation and proper uses of cosmetic products will be covered. Major topics include definition of cosmetics, make-up cosmetics, skin-care cosmetics, hair-care cosmetics, vehicles of cosmetic products, surfactants, colorants, alpha hydroxyl acids & beta hydroxyl acids, anti-oxidants and sunscreens, skin-whitening agents, hydrating substances / moisturizers, antiperspirants & deodorants and botanical ingredients.","-","-","-","['2017-18 Summer', '2016-17 Summer']"
"CHEM","1004","Chemistry in Everyday Life","3","(S&T)","Level 3 or above in HKDSE 1/2x Chemistry OR HKDSE 1x Chemistry, a passing grade in AL/AS Chemistry, CHEM 1010, CHEM 1020, CHEM 1030, any CHEM courses at or above 2000-level","-","-","This course is intended for students with very little to no chemistry background. The basic ideas and principles of chemistry will be explained through many examples of everyday life. The course will focus on developing a chemical understanding of the materials and processes that surround us in the world. Many relevant topics will be discussed such as the air, air pollution, global warming, ozone depletion, metals and their uses, minerals and gems, fire and fuels, color and light, food and drinks, household chemical products, polymers and drugs.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CHEM","1010","General Chemistry IA","3","-","Level 3 or above in HKDSE 1x Chemistry, CHEM 1008, CHEM 1020","Level 3 or above in HKDSE 1/2x Chemistry OR CHEM 1004","-","This course is an introduction to fundamental principles of chemistry for students who have learnt the basic knowledge of chemistry in high school. Topics include atomic structure and periodicity, chemical bonding and molecular structure, basic properties of gases, liquids and solids, chemical kinetics, chemical equilibrium, and basic organic and biological molecules.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CHEM","1020","General Chemistry IB","3","-","CHEM 1010","Level 3 or above in HKDSE 1x Chemistry","-","This course targets at students who have acquired more advanced knowledge in fundamental Chemistry in high school. Key topics include atomic structure and periodicity, bonding theories, chemical energy, and properties of gases, liquids and solids. Other topics such as chemical kinetics, chemical equilibrium and organic molecules will be briefly reviewed.","-","-","-","['2018-19 Fall', '2017-18 Summer', '2017-18 Spring', '2017-18 Fall', '2016-17 Summer', '2016-17 Spring']"
"CHEM","1030","General Chemistry II","3","-","-","CHEM 1010 OR CHEM 1020","-","This course is designed for students who have taken General Chemistry I and want to continue to expand their chemistry knowledge. It will cover topics related to stoichiometry and chemical reactions, properties of aqueous solutions, acids and bases, thermodynamics and equilibrium, electrochemistry, general aspects in chemistry of the main-group elements, and introduction to transition metal elements and coordination compounds.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2016-17 Spring']"
"CHEM","1050","Laboratory for General Chemistry I","1","-","-","Level 3 or above in HKDSE 1/2x OR level 3 or above in HKDSE 1x Chemistry OR CHEM 1004","CHEM 1010 OR CHEM 1020","This course is the laboratory class designed for students who enrolled in CHEM 1010 or CHEM 1020. With laboratory experience acquired in this course, students will be able to relate the physical and chemical principles and theories in practice. Experiments on topics such as chemical energetic and chemical equilibrium will be included. Graded P or F.","-","-","-","['2018-19 Fall', '2017-18 Spring', '2017-18 Fall', '2016-17 Spring']"
"CHEM","1055","Laboratory for General Chemistry II","1","-","-","CHEM 1010 OR CHEM 1020","CHEM 1030","This course is the laboratory class designed for students who enrolled in CHEM 1030. Students will perform experiments based on the theory they learned in courses. By conducting experiments independently, students are able to experience the whole process, from pre-lab and studying Material Safety Data Sheet (MSDS), to using suitable labwares, experimental techniques and data treatment. Experiments on topics such as electrochemical series and acid-base reaction will be included.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
"CHEM","2110","Organic Chemistry I","3","-","CHEM 2111","CHEM 1030","-","This is the first part of the organic chemistry course series designed for students taking a major/minor in chemistry/life science under the four-year degree. Topics covered include: structure and bonding; regio-, geometric, and stereoisomerism; polar and radical reactions of alkenes and alkynes; substitution and elimination reactions; synthesis and reactions of alcohols and epoxides.","-","-","-","['2018-19 Fall', '2017-18 Fall']"
"CHEM","2111","Fundamentals of Organic Chemistry","3","-","CHEM 2110, CHEM 2112 (prior to 2013-14), CHEM 2118 (prior to 2013-14)","CHEM 1010 OR CHEM 1020","-","Various classes of organic compounds, emphasizing organic chemical reactions and mechanisms of major functionalities and their importance in the area of biological chemistry. For engineering students under the four-year degrees who prefer to learn organic chemistry in a single term.","-","-","-","['2017-18 Spring', '2016-17 Spring']"
